sl_store,sl_address,sl_city,sl_zip,sl_latitude,sl_longitude,sl_tags,sl_phone,Polizeipräsidium
Landeskriminalamt Baden-Württemberg,Taubenheimstraße 85,Stuttgart,70372,48.800494,9.233579,,0711 5401-0,LKA
Polizeipräsidium Aalen,Böhmerwaldstraße 20,Aalen,73431,48.830248,10.09198,Polizeipräsidium,07361 580-0,Aalen
Direktion Polizeireviere Aalen,Böhmerwaldstraße 20,Aalen,73431,48.8306236,10.0918036,Direktion,07361 580-0,Aalen
Polizeirevier Aalen,Stuttgarter Straße 5,Aalen,73430,48.83774,10.09566,Polizeirevier,07361 524-0,Aalen
Polizeirevier Backnang,Aspacher Straße 75,Backnang,71522,48.949263,9.421463,Polizeirevier,07191 909-0,Aalen
Polizeirevier Crailsheim,Parkstraße 7,Crailsheim,74564,49.135451,10.074459,Polizeirevier,07951 480-0,Aalen
Polizeirevier Ellwangen,Karlstraße 3,Ellwangen (Jagst),73479,48.964228,10.131518,Polizeirevier,07961 930-0,Aalen
Polizeirevier Fellbach,Cannstatter Straße 16,Fellbach,70734,48.807339,9.277376,Polizeirevier,0711 5772-0,Aalen
Polizeirevier Schorndorf,Grabenstraße 28/1,Schorndorf,73614,48.80715,9.52375,Polizeirevier,07181 204-0,Aalen
Polizeirevier Schwäbisch Gmünd,Lessingstraße 7,Schwäbisch Gmünd,73525,48.796051,9.791286,Polizeirevier,07171 358-0,Aalen
Polizeirevier Schwäbisch Hall,Salinenstraße 18,Schwäbisch Hall,74523,49.1181768,9.7341306,Polizeirevier,0791 400-0,Aalen
Polizeirevier Waiblingen,Alter Postplatz 20,Waiblingen,71332,48.82902,9.31758,Polizeirevier,07151 950-0,Aalen
Polizeirevier Winnenden,Eugenstraße 5,Winnenden,71364,48.87295,9.40646,Polizeirevier,07195 694-0,Aalen
Kriminalpolizeidirektion Waiblingen,Alter Postplatz 20,Waiblingen,71332,48.82902,9.31758,Direktion,07151 950-0,Aalen
Kriminaldauerdienst Waiblingen,Lessingstraße 7,Schwäbisch Gmünd,73525,48.796032,9.791238,,07171 358-0,Aalen
Kriminalkommissariat Aalen,Böhmerwaldstraße 20,Aalen,73431,48.830624,10.091804,,07361 580-0,Aalen
Kriminalkommissariat Schwäbisch Hall,Salinenstraße 18,Schwäbisch Hall,74523,49.1181768,9.7341306,,0791 400-0,Aalen
Verkehrspolizeiinspektion Kirchberg/Jagst,Ortsstraße 1,Kirchberg,74592,49.173102,9.959491,Direktion,07904 9426-0,Aalen
Verkehrsdienst-Außenstelle Aalen,Böhmerwaldstraße 20,Aalen,73431,48.830624,10.091804,,07361 580-0,Aalen
Verkehrsdienst-Außenstelle Backnang,Eugen-Adolff-Straße  122,Backnang,71522,48.946623,9.444998,,07191 8929-90,Aalen
Polizeipräsidium Einsatz,Heininger Straße 100,Göppingen,73037,48.6895433,9.6719037,Polizeipräsidium,07161 616-0,Einsatz
Polizeipräsidium Freiburg,Bissierstraße 1,Freiburg im Breisgau,79114,48.00235,7.82138,Polizeipräsidium,0761 882-0,Freiburg
Direktion Polizeireviere Freiburg,Bissierstraße 1,Freiburg im Breisgau,79114,48.00235,7.82138,Direktion,0761 882-0,Freiburg
Polizeirevier Bad Säckingen,Rathausplatz 3,Bad Säckingen,79713,47.5523597,7.949340597,Polizeirevier,07761 934-0,Freiburg
Polizeirevier Breisach,Müllheimerstraße 1,Breisach am Rhein,79206,48.0382143,7.5803855,Polizeirevier,07667 9117-0,Freiburg
Polizeirevier Emmendingen,Wiesenstraße 4,Emmendingen,79312,48.10852,7.85372,Polizeirevier,07641 582-0,Freiburg
